LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
WORK,QUERY,,,ATM,1,8,13,ATM,,0,0,,0,0,1,96,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,ATMAmt,1,8,14,ATM Withdrawal Amount,,0,0,,0,0,1,104,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,AcctAge,1,8,1,Age of Oldest Account,,0,0,,0,0,1,0,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,Age,1,8,38,Age,,0,0,,0,0,1,296,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,Branch,2,8,43,Branch of Bank,,0,0,,0,0,0,368,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,CC,1,8,30,Credit Card,,0,0,,0,0,1,232,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,CCBal,1,8,31,Credit Card Balance,,0,0,,0,0,1,240,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,CCPurc,1,8,32,Credit Card Purchases,,0,0,,0,0,1,248,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,CD,1,8,17,Certificate of Deposit,,0,0,,0,0,1,128,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
WORK,QUERY,,,CDBal,1,8,18,CD Balance,,0,0,,0,0,1,136,32264,V9,06MAR19:12:32:15,06MAR19:12:32:15,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
