AcctAge,DDA,DDABal,CashBk,Checks,DirDep,NSF,NSFAmt,Phone,Teller,Sav,SavBal,ATM,ATMAmt,POS,POSAmt,CD,CDBal,IRA,IRABal,LOC,LOCBal,ILS,ILSBal,MM,MMBal,MMCred,MTG,MTGBal,CC,CCBal,CCPurc,SDB,Income,HMOwn,LORes,HMVal,Age,CRScore,Moved,InArea,Ins,Branch,Res,Dep,DepAmt,Inv,InvBal
0.3,1,419.27,0,0,0,0,0,0,0,1,10233.72,1,106.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,483.65,0,0,16,1,11,89,63,696,0,1,1,B17,R,2,1170.06,0,0
0.7,1,1986.81,0,1,1,0,0,0,0,0,0,1,268.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,7,87,51,674,0,1,0,B2,R,1,446.93,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1,8.5,97,60,640,0,1,1,B3,S,0,0,0,0
0.5,1,1594.84,0,1,0,0,0,0,1,1,425.06,1,278.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65.76,0,0,125,1,7.5,145,44,672,0,1,0,B1,S,1,1144.24,0,0
6.7,1,2813.45,0,2,0,0,0,0,5,1,2716.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,6,101,46,648,0,1,1,B1,S,2,1208.94,0,0
12.3,1,1069.78,0,13,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.62,0,0,19,0,3,107,55,662,0,1,1,B7,U,5,6813.58,0,0
8.8,1,1437.57,0,12,1,0,0,0,0,0,0,1,391.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94539.95,1,85202.99,0,0,55,1,3.5,128,57,659,0,1,0,B1,U,2,2237.69,0,0
9.3,1,1683.28,0,2,1,0,0,0,0,1,967.04,1,276.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,4.5,99,58,675,0,1,1,B5,U,3,795.85,0,0
0.8,1,190.03,0,1,0,1,5.65,,0,1,11.47,1,1582.34,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,20,0,4,107,40,642,0,1,0,B14,S,3,880.25,,
0.9,1,462.12,0,4,0,0,0,0,2,1,9010.4,1,863.11,1,23.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,4,129,73,667,0,1,1,B6,S,2,1049.57,0,0
3.5,1,32812.98,0,2,0,0,0,0,1,0,0,1,2997.01,5,245.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,620,0,1,1,B2,U,2,1984.75,0,0
3,1,1772.13,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,7.5,95,29,612,0,1,0,B4,U,2,1143.44,0,0
14.3,1,1226.9,0,12,0,0,0,,2,0,0,1,779.72,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,102,1,5,146,34,711,0,1,0,B19,R,3,2321.8,,
1.6,1,257.13,0,14,0,1,60.25,,1,1,9.8,1,3807.19,,,1,7500,0,0,0,0,0,0,0,0,0,0,0,,,,0,24,1,8.5,95,54,732,0,1,0,B15,U,5,3408.35,,
,1,375.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,12,91,58,662,0,1,0,B16,R,1,778.34,0,0
4.8,1,324.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,1,13,135,75,715,0,1,0,B9,S,0,0,0,0
1.8,1,13.85,0,0,0,0,0,0,0,1,426.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,323.13,0,0,13,1,10,77,51,679,0,1,0,B7,U,1,25.84,0,0
,1,797.87,0,2,0,0,0,,0,1,11238.45,1,3342.69,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,17,0,6.5,99,52,668,0,1,1,B19,S,2,1208.8,,
5.3,0,0,0,0,0,0,0,,0,1,18116.37,1,11435.3,,,0,0,0,0,0,0,0,0,1,12247.31,1,0,0,,,,0,8,1,12.5,76,61,688,0,1,1,B19,R,0,0,,
0.7,1,4681.78,0,5,0,0,0,0,3,0,0,1,2692.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,9.5,96,49,656,0,1,1,B7,U,3,2349.09,0,0
1.3,1,295.51,1,2,0,0,0,4,1,0,0,1,1449.12,12,208.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,580,0,1,0,B2,U,4,1231.82,0,0
13,1,9644.48,0,4,1,0,0,0,1,0,0,1,386.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36773.96,1,32366.86,0,0,,1,,,,605,0,1,0,B2,S,2,3536.46,0,0
1.5,1,284.88,0,4,0,1,22.06,2,2,0,0,1,916.74,5,140.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10.5,98,39,699,0,1,0,B1,U,5,1383.96,0,0
9,1,1072.55,0,0,0,1,5.78,,1,1,142.98,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,91754.86,,,,0,45,1,8.5,111,54,635,0,1,1,B15,R,1,590.25,,
3.7,1,105.42,0,2,0,0,0,,4,0,0,1,49.62,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,36,1,7.5,102,40,641,0,1,0,B18,S,3,564.96,,
